LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,__target__
378012,2,1,1,39,0,0,0,0,0,0,48563,56160,41104,42884,26263,47434,2442,588,18281,5882,4275,3433,0
49705,2,1,1,25,0,0,0,0,0,0,37144,45108,38106,8565,7088,32820,710,1526,1235,-106,2925,-262,1
388317,2,2,3,55,-1,2,2,-2,-2,-1,-393,-1027,787,1283,-1669,-434,-1217,150,-812,147,455,549,1
150028,2,2,1,25,0,0,0,0,0,0,34298,62211,60692,14655,69999,100802,5499,5568,-115,2213,3099,-163,0
99999,2,3,2,38,-1,-1,2,5,-2,-1,-2608,-248,-997,161,728,79,-1076,-482,-888,373,-297,127,1
406123,1,1,1,45,-1,-1,-1,-1,-1,-1,1591,-2046,411,1173,-81,799,-92,1203,717,1572,162,516,0
228249,2,2,1,40,0,0,0,0,0,0,161666,61895,48433,250064,290874,46296,7294,8549,1196,6269,3401,7366,0
17668,1,6,1,28,0,0,0,0,0,0,86871,9975,74998,4325,-5975,469,6196,2429,803,-244,-23,177,0
193352,1,4,1,33,-2,-2,-2,-1,-2,-1,-232,1894,2546,1149,-367,464,-264,3041,1488,37,501,209,1
101020,1,2,1,59,-1,-1,-1,-1,-1,-1,-785,-1745,-348,9983,-95,16483,532,1359,1922,287,1342,290,0
496529,1,2,1,42,-1,-1,0,-1,-1,-1,10533,7625,21013,316954,20164,18098,9612,14405,18133,10352,13268,7214,1
24175,1,1,2,23,0,0,0,2,2,0,12402,16727,14949,6864,4016,14862,2304,1371,1298,324,1920,-66,0
89842,1,2,2,23,-1,-1,-1,-1,0,-1,1049,11300,15911,10138,16008,3103,4805,8188,4154,4127,1398,14459,0
90207,2,2,0,41,1,2,2,0,0,0,2421,22107,74483,42121,36316,4444,-1118,3781,2602,2254,1682,2412,0
248460,2,2,1,32,2,0,0,0,0,0,258397,338629,92233,216501,167039,183575,3905,9232,5912,2326,4375,1327,1
162405,2,1,2,32,3,-1,2,2,2,0,6828,8529,37787,66404,33687,30125,4439,15734,1634,4145,3554,1704,1
160624,2,6,1,34,1,-2,-2,-2,-2,-2,173,-2333,1487,826,-1319,851,-570,285,-1041,-333,-53,386,1
105707,2,3,1,38,2,2,2,2,2,2,72410,63032,34899,32114,73386,38662,5417,3473,776,1281,618,261,0
504270,2,2,1,41,0,0,0,0,0,-1,315235,411211,350095,275696,122163,131474,9549,11762,68613,5976,12496,16643,1
434658,2,1,1,33,0,0,0,0,0,0,180657,315467,319625,142623,156184,220417,61215,24285,12037,4294,92929,16114,0
149841,2,2,1,35,1,2,0,0,0,0,59124,70933,89592,40355,68512,40351,4958,6481,5186,2420,3333,389,0
476702,1,4,2,27,0,0,0,0,0,0,154050,125588,78320,222676,63636,83344,7338,15365,859,2505,2204,513,0
85945,2,2,2,28,0,0,0,0,0,0,28213,2699,17565,8576,208,22001,362,1986,830,2809,1756,1621,0
207688,2,5,1,21,0,0,0,0,0,0,10129,10701,2696,3598,3474,-773,925,2898,1148,113,289,186,0
523056,2,2,2,37,0,0,0,0,0,0,200433,186120,261502,91130,232512,121366,13204,8296,5039,4221,3173,1620,0
140380,1,1,1,47,0,0,0,0,0,-2,15898,12620,51933,3817,6211,8442,4310,1227,475,761,4291,140,0
102210,2,2,2,25,0,0,0,0,0,0,103758,64534,57408,13917,16683,11748,6858,1343,4321,545,774,-408,0
189962,2,4,1,34,-2,-2,-2,-2,-2,-2,2913,6863,22722,1596,321,2103,2501,3070,-362,4651,18109,1889,0
191335,2,6,1,33,0,0,0,0,0,0,166702,99193,57784,140206,39680,107544,5992,6159,3166,2393,1327,607,0
30771,2,2,3,44,0,0,0,0,0,0,13505,19856,20273,11510,21650,19741,5273,3352,963,5747,4382,866,0
17092,1,3,0,28,1,0,2,-1,3,-1,11795,15259,694,-1421,889,2297,1870,3085,1275,3263,392,104,0
78384,2,2,2,28,0,0,0,0,0,0,13680,20283,15534,3023,19297,6589,1490,21699,486,347,899,637,1
377566,1,2,1,38,-1,-1,-1,-1,-1,-1,811,6483,4334,10539,87,1174,3511,4474,17321,1206,314,16487,0
26323,2,2,1,25,3,3,2,2,2,2,8025,15041,8910,28770,41734,31459,3505,584,139,90,438,1671,1
24479,2,2,1,24,1,2,0,0,0,0,699,2073,519,350,383,869,-817,-277,-67,-245,-323,-42,1
49996,2,1,1,29,0,0,0,0,0,0,34387,43418,63875,36324,24184,30911,3591,2438,2451,381,1519,259,1
211072,1,2,1,35,-2,-2,-2,-2,-2,-2,-2248,-766,2760,365,-824,1731,9127,486,115,-39,192,378,0
132241,2,1,1,47,0,0,0,0,0,0,78756,148366,47523,65022,53696,36654,1135,5361,1590,6007,2524,7497,0
76102,2,1,2,33,2,2,2,0,0,0,26021,40399,37143,29085,46450,43711,620,476,795,2855,1474,3025,1
51139,1,2,1,34,0,0,0,0,0,0,57679,28564,52876,15318,23942,23305,5379,408,5275,2043,1476,1944,0
379048,2,2,2,30,-1,-2,-2,-2,-2,-2,2997,-263,1179,13955,-111,129,539,1216,800,456,208,2216,0
27044,2,2,2,31,0,0,2,2,3,-2,13664,17978,9830,-2188,389,818,545,1693,698,1615,2076,-30,0
16630,1,2,2,25,0,0,2,-1,0,-2,12780,11578,-505,-398,194,357,3951,839,908,831,4071,39,0
242372,2,2,2,30,1,-2,-2,-2,-2,-1,-1861,-1751,-1585,-217,444,616,-580,1197,-936,564,345,-156,0
183197,1,6,2,35,-1,-1,-1,-1,-1,-1,-2448,-1339,2161,8643,9360,20940,642,2148,951,384,5577,393,0
220181,2,4,1,45,1,2,0,0,0,0,33349,37370,62070,19158,29364,49012,5570,3834,3288,2448,2556,1364,0
49982,1,2,1,57,0,0,0,0,0,0,70535,98031,1505,120,-243,2064,5905,496,177,784,442,-452,0
185591,2,6,1,43,0,0,0,0,0,0,75604,202356,140745,86899,122837,69392,2056,5153,3749,3500,576,-566,0
226378,1,2,3,41,-1,-1,-2,-2,-2,-2,3519,-425,1805,886,-1605,-1749,-1404,941,-911,-432,358,1017,1
229326,2,1,2,32,-1,-1,-1,-1,-1,-1,444,-3279,752,-824,-469,5729,721,3214,156,6065,3328,6958,0
50015,1,1,2,44,0,2,0,0,0,0,5205,1522,1720,6434,15767,16212,1376,1244,627,736,1660,395,0
154507,1,2,1,42,2,0,0,0,0,0,137816,126648,55014,76046,59825,61992,2224,4790,8518,6111,1993,772,0
89031,2,3,1,38,-2,-2,-2,-2,-2,-2,-355,-1462,1418,1450,246,2466,-89,2229,-28,332,331,1260,0
56966,1,3,1,45,-1,0,-1,0,0,-1,10725,2715,1493,11728,1745,482,2152,491,308,453,-318,503,0
154367,1,1,2,28,0,0,0,-2,-1,-2,80836,64693,63690,418,-816,-417,-20,9226,4855,8472,257,271,0
218669,1,2,2,32,-1,-1,-1,-1,-1,-1,-1046,1441,1489,-608,1967,210,441,1283,1546,705,1680,3245,0
25949,2,2,2,60,0,0,0,0,0,0,15870,30092,53717,8690,4133,51133,1582,2976,1670,-139,1021,-443,0
140491,1,1,2,41,0,0,0,0,0,0,56985,54243,26571,12642,9893,12148,6053,4978,1154,5623,2756,156,0
120690,2,3,2,36,2,0,2,0,0,0,94899,104243,71824,62888,64751,103142,2147,2027,2335,3287,2046,1762,0
52612,1,3,2,25,0,0,0,0,0,0,15730,46567,37140,13463,185,1216,2214,2095,-126,375,-53,484,0
199063,1,2,1,32,1,-1,-2,-2,-2,-1,2694,1561,-446,379,-1003,7917,5290,460,948,-674,2537,-191,0
569308,2,2,1,35,2,0,0,0,0,0,96403,256810,240507,235011,232577,42734,292,3581,238,3538,3284,249,1
68271,1,1,2,30,2,2,2,2,0,2,41468,62412,51951,31403,37649,47976,1083,1190,2625,3339,2862,2864,1
22777,2,2,1,39,2,2,2,2,2,2,6372,15642,13512,285,2236,34851,680,37,-116,-48,1276,221,1
322301,2,2,1,44,0,0,0,0,0,0,144199,120972,110520,1714,66962,88661,6972,1583,4257,627,1923,1576,0
408779,1,3,1,47,-1,-1,-2,-2,-2,-2,1111,215,581,844,1798,1266,81,-67,-73,123,375,-133,1
128951,2,2,2,32,-1,-1,-1,-1,-1,-1,2879,109,1776,1078,1049,1316,131,771,1229,-245,345,1577,0
10514,2,2,2,27,0,0,2,2,2,2,13522,16766,16099,4891,25795,43833,4634,1752,341,1956,731,-267,1
51402,2,2,2,24,0,0,2,0,0,0,23509,36738,69152,30421,15656,53120,3476,1404,628,335,1593,2297,0
25798,1,3,1,51,1,-2,-2,-2,-2,-2,-1346,64,241,999,-526,65,-715,883,86,92,1802,101,0
17766,2,3,1,43,0,0,0,0,0,0,16573,22013,15136,16040,14337,14256,1202,2125,-337,399,4227,-168,1
31472,1,1,2,24,0,0,0,0,0,0,2292,21225,11124,6806,3522,12018,1540,1591,3844,531,2020,14519,0
25681,2,3,1,43,0,0,0,0,0,0,14294,26935,19825,12506,10754,15511,3803,2406,11,6525,4324,190,0
218683,2,5,1,36,0,0,0,0,0,0,91236,411737,145250,120753,128369,85603,9128,9963,3545,5738,1532,3304,0
17052,1,1,2,27,0,0,0,2,2,2,13067,8166,11082,5655,-938,35736,1518,1144,18,1548,-531,-245,1
228735,2,2,1,38,0,0,0,0,0,0,82922,169175,62541,69927,90340,63387,5394,10010,88663,5804,500,-57,1
48859,2,2,1,40,0,0,0,0,0,0,24398,50503,2129,14851,-2784,37354,3727,1444,518,1664,3149,348,0
83295,2,3,0,42,-1,2,0,0,0,0,322,14215,14962,14028,8239,14902,411,92175,816,7765,5188,1198,0
537558,1,2,1,38,1,-2,0,0,0,0,305504,453754,551922,244898,133086,334338,5853,15762,116304,69466,53009,79303,1
236757,2,2,1,63,-2,-2,-2,-2,-2,-2,15963,491,17780,28151,-3355,-58,1736,18577,29266,-163,-230,13279,0
163720,2,1,1,29,0,0,0,0,0,0,168477,146566,105769,133489,71427,41977,10107,5656,3517,1690,-224,2203,1
100993,2,3,0,31,-1,-1,-1,-1,-1,-1,2169,-1357,2701,472,595,962,592,1473,3982,2311,2276,1420,0
169550,1,1,1,30,0,0,0,0,0,0,50828,153359,194864,63768,131773,104966,6831,6950,10521,6521,5312,717,0
232622,2,2,1,41,-2,-2,-2,-2,-2,-2,81135,1813,21527,10635,17089,12825,973,2380,1342,2952,4142,10660,0
351261,1,1,2,35,0,0,0,0,0,2,113266,128139,38900,34623,44341,52930,45537,11670,2910,7795,1768,4469,0
25582,2,2,2,43,1,0,2,2,2,2,-225,19051,12205,10401,11588,21526,1563,1810,-34,7094,1915,-17,0
98430,2,1,1,33,-1,-1,-1,-1,-1,-1,9182,421,-1794,7699,-381,1716,980,535,1629,1296,35,-73,0
80232,2,2,2,41,0,0,-2,-1,-1,-1,207,11014,-1045,1159,-701,-1392,-234,2191,74,1657,1073,-167,0
44755,2,2,2,33,0,0,0,0,0,0,99946,18296,16181,11305,25677,20506,2124,1976,1549,3821,1656,519,0
15416,1,2,2,24,2,2,0,0,0,0,18968,22793,7973,10092,30795,45552,172,1034,3291,191,1114,41,1
188815,1,1,2,31,0,0,0,0,0,2,38972,49702,25765,27688,8748,36599,5222,1951,1271,5120,371,4827,1
53565,1,2,2,24,0,0,0,0,0,0,53946,60078,44725,37195,11639,29640,3110,2213,1431,593,827,130,0
48982,1,2,2,24,0,0,0,0,0,0,43365,29847,46533,6976,32683,84531,805,1186,4300,379,899,5784,0
59557,2,1,2,28,1,0,0,0,0,0,34645,24741,52563,40510,39998,36110,1842,2697,5104,2490,2978,3445,0
479534,2,2,1,46,0,0,0,0,0,-1,10350,11325,20002,13688,12146,7338,1824,21566,1715,5103,10117,224,0
161781,2,3,0,48,0,0,0,0,0,-1,-705,4726,16703,10138,17404,12763,752,1368,1090,2321,3010,248,0
24476,2,2,1,36,1,2,2,2,2,2,10165,19490,8280,10816,27059,47179,4,2431,-71,242,675,117,1
255362,1,5,1,53,1,0,0,0,0,0,300981,183369,71858,148936,131177,43652,6051,11830,117081,6377,2818,1722,1
134314,2,3,0,31,-1,-1,-2,-2,-2,-2,754,-120,2674,1409,1199,1642,3006,1582,1877,-57,2182,101,0
52147,2,2,2,24,0,0,0,0,0,0,44211,61810,52418,40563,19583,38696,2612,1429,-443,1591,1708,381,0
168862,1,2,1,33,0,0,0,0,0,0,68814,114346,82675,72351,39989,55632,7467,3293,2821,2221,4819,4839,0
75804,2,2,1,56,2,2,0,0,0,0,20302,49095,49132,11245,33661,43425,2931,2376,3974,3392,563,1597,0
134134,2,1,2,34,0,0,0,0,-1,-1,17509,25289,19052,5750,25853,11979,4730,19032,20293,9023,1813,10914,0
30995,2,1,1,48,0,0,0,0,0,0,35576,53123,60495,31857,14043,21025,2723,2916,1089,484,1694,-92,1
95773,2,5,1,28,0,0,2,-1,-1,-2,13132,11972,2780,1484,1301,-2050,5257,4821,1014,219,-159,341,0
210085,2,1,2,29,-2,-2,-2,-2,-2,-2,37666,12878,1686,39264,9127,1750,4564,1380,-654,216,752,329,0
371898,2,1,2,27,-1,-1,-1,0,-1,-1,-610,1047,1353,701,-265,1616,1327,185,-209,-438,1511,-194,0
208497,1,2,2,28,0,0,0,0,0,0,33141,33175,43679,21195,8087,42538,2626,2116,1218,1811,3436,10252,0
437470,2,1,1,45,0,0,0,0,0,0,216028,145482,173699,302235,274775,301291,8384,13020,8730,13354,27537,57527,0
295784,2,2,1,35,-2,-2,-2,-2,-2,-2,-2431,979,2123,23756,307,2367,227,2812,-536,4074,27464,27728,0
88272,2,1,2,28,0,0,0,0,0,0,34270,53275,58324,36058,30496,24967,4298,2414,3764,3951,1376,4447,0
794556,2,2,1,34,0,0,0,0,0,0,215938,225166,206445,48655,44223,71020,11017,7884,12969,9235,5627,3134,0
258724,1,5,1,34,0,0,0,0,0,0,247542,240560,166494,129317,142288,175953,8592,10946,6464,5588,4344,8717,0
24462,2,2,3,48,0,0,0,0,0,0,61116,63084,31592,14907,19843,55824,3677,2214,420,485,1280,-366,0
73498,2,3,0,54,0,0,0,0,0,0,12329,16136,54364,76095,-373,16751,3393,2459,3458,1974,2062,744,0
80169,2,3,0,30,1,2,2,-1,0,0,4006,8036,6033,16915,10361,14177,26,13034,2297,3303,1724,5749,1
99627,2,3,1,39,0,0,0,2,0,0,11895,3037,11192,4521,11317,10920,9206,6146,8693,328,496,414,0
192956,2,5,1,55,2,2,3,2,2,2,54464,76017,66525,47232,56780,81600,2008,7348,1559,2568,5998,1793,0
192975,2,2,2,23,0,0,0,0,0,0,73784,185706,202195,131491,147588,51425,2213,1184,79439,4771,625,314,0
133013,1,2,1,24,0,0,0,0,0,0,55499,153120,110486,48929,57105,74497,6806,6174,5191,3347,3456,-399,0
226190,1,3,0,49,-1,-1,-1,-1,-2,-2,736,-1525,-772,-476,-555,569,-883,429,-799,-443,90,-206,1
56831,2,3,1,49,0,0,0,0,0,0,45346,64926,52671,51780,47727,40216,1704,4475,226,1466,1456,810,0
240236,1,2,1,24,0,0,0,0,-1,-2,63518,23097,6937,8082,5861,465,11971,1035,725,42,-248,-181,0
176347,2,2,2,30,0,0,0,0,0,0,45913,59839,54505,36849,54310,17715,6113,4101,1656,737,2375,4581,0
19271,1,1,2,50,3,2,2,2,0,0,7222,8951,2138,3311,3567,15392,1330,3067,527,540,3573,-196,0
502768,2,2,1,36,1,0,0,0,0,0,178184,152550,116661,290389,115117,51454,8281,10048,2563,3468,6253,4883,0
94386,1,2,2,30,-1,2,-1,-1,-2,-2,-300,-990,2174,-199,-1102,383,547,1732,579,-621,92,347,0
403485,1,3,1,29,1,-2,-2,-2,-2,-2,-138,-1575,586,-478,-1513,-785,2994,457,-204,512,-108,2714,1
512898,2,0,2,29,-1,-1,-1,-1,-1,-1,13050,-3992,13342,1332,1713,35,4807,20486,22637,7036,18202,12036,0
216016,1,3,2,56,1,2,-1,-1,0,-1,-1556,-294,1961,777,-1372,2104,-465,860,-678,264,1874,2203,0
214691,1,2,0,36,2,-1,2,-1,3,-1,14090,8976,-1216,-309,-1506,-210,1854,562,225,290,906,3228,1
372955,2,1,1,34,1,2,0,0,0,0,27536,1144,25522,7577,18975,49706,294,1342,1902,1781,1108,1228,0
26817,1,2,1,23,3,3,2,2,2,2,32835,11774,10539,15076,-596,1936,955,2604,214,-588,1302,322,1
473180,2,3,1,46,0,0,0,0,0,0,11022,20183,12531,1745,6072,41069,527,668,96929,9391,2096,6408,1
17769,1,2,3,52,0,0,0,0,0,0,14614,11893,-728,5761,6548,12554,1083,1000,857,-104,1215,51,0
97030,2,2,1,28,0,0,0,0,0,0,46995,127054,61812,152306,78590,69395,1566,13872,2227,1594,134,4081,0
54847,2,2,2,22,0,0,0,0,0,0,38947,75782,51836,32994,40092,49721,6768,1495,2901,1612,4305,-222,0
179902,1,3,1,58,0,2,0,2,0,0,47304,130188,90459,144940,39147,145265,2630,4001,18675,2209,1194,1587,1
20960,2,2,2,24,0,0,0,2,0,0,55498,67726,40769,36678,18073,41527,3421,5482,572,7651,785,-764,0
18382,1,2,2,61,3,2,2,2,3,0,6138,16510,20887,9686,15477,60463,1141,-186,-164,2856,1350,1509,1
385408,1,2,2,36,0,0,0,0,0,0,228333,137238,215490,151486,144420,164721,9285,10156,12024,936,9988,278,0
66519,2,2,2,28,2,2,0,0,0,0,35742,19751,30140,11492,9913,35472,-59,739,13,692,876,138,1
149765,2,2,1,33,1,2,0,0,0,0,30874,41492,75584,33184,28306,45011,2296,2758,3843,5563,2312,1037,0
151393,1,1,1,28,0,0,0,0,0,0,39724,160403,108131,45586,77561,86307,1068,2166,1982,2287,1510,2839,0
21547,2,3,2,25,2,3,2,2,2,2,8748,12728,14920,1225,1558,317,2831,3963,1457,-305,-83,170,1
71429,2,3,1,49,2,0,0,0,0,0,62590,2068,2754,33328,44037,656,921,1119,454,-106,1864,68,0
198085,2,2,3,36,0,0,0,0,0,0,212608,172709,224499,147783,105981,145471,12283,14059,12748,4266,5084,2282,0
54712,2,2,3,40,1,-2,2,0,0,0,1028,1046,818,693,-724,-723,561,1672,367,35,354,1075,1
25747,2,2,1,38,0,0,0,0,0,0,2059,21975,14929,9631,15166,6800,3334,2249,953,2135,3641,5030,0
53894,2,1,2,27,0,0,2,0,0,0,1936,84604,11963,3191,-1733,16643,9407,1136,-744,3986,2335,1313,0
48456,2,1,2,24,0,0,0,0,0,0,74395,30189,48747,3690,6804,14932,2836,2606,709,3218,148,-199,0
186695,2,3,1,35,0,0,2,2,-1,-1,15550,14431,16460,1629,7629,8741,4630,750,442,9650,212,35,0
15006,1,1,2,31,-1,3,2,2,2,2,5018,14646,7775,1189,23350,10690,7724,5169,2165,13527,1462,183,1
55166,2,3,3,45,0,0,0,0,0,0,35158,33441,50890,5227,14787,24319,2827,1887,862,494,171,698,0
93089,2,2,2,24,0,0,0,0,0,0,68329,49796,60585,11970,9607,102807,990,1272,685,1754,4947,213,0
407568,2,1,2,25,0,2,0,0,0,0,69351,49698,17065,4552,25598,37898,1604,3978,959,11387,2519,1485,0
21018,2,2,1,31,0,0,-2,2,-2,2,44213,14417,4876,2988,-2388,-476,1122,1101,-959,-363,1247,-365,0
244558,2,1,2,35,1,2,2,2,0,2,52403,10611,56809,174593,83320,11490,6459,3761,3060,5872,12101,4366,1
412795,2,1,1,36,-1,-1,-1,-1,-1,-1,11383,5701,19700,11401,141,13006,40003,3027,1774,21892,2217,18751,0
216927,2,3,0,50,-2,-2,-2,-2,-2,-2,1497,-1951,-1137,196,-1475,398,-736,624,-838,-357,126,515,1
347147,1,1,2,29,-1,-1,2,0,0,0,6351,2299,6451,10458,32832,17345,4733,120,7620,582,8817,23656,0
27368,1,2,1,34,3,3,2,2,2,2,-4486,13154,9201,12416,35844,20283,413,2784,-140,1791,2257,206,0
