age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,__target__
40,Private,335136,7th-8th,5,Never-married,Handlers-cleaners,Not-in-family,White,Male,4,0,40,United-States,0
52,Private,180567,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,-6,0,49,United-States,1
81,Private,215254,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,9,0,30,United-States,0
49,Private,206087,Preschool,1,Separated,Other-service,Unmarried,White,Male,51,0,40,United-States,0
47,Private,246694,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,12,-1,40,Iran,0
50,Private,176210,HS-grad,9,Married-spouse-absent,Other-service,Unmarried,Black,Female,10,-1,40,Italy,0
37,Self-emp-inc,199650,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Male,34,0,50,United-States,0
54,Private,200879,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,-7,0,40,United-States,0
22,Private,199903,Some-college,10,Never-married,Other-service,Husband,White,Male,20,1,45,Hungary,0
44,Self-emp-not-inc,82404,Preschool,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,15,1,40,United-States,0
34,Private,267579,HS-grad,9,Separated,Other-service,Unmarried,White,Female,18,1,40,United-States,0
53,Private,236545,12th,5,Married-civ-spouse,Prof-specialty,Husband,White,Male,-4,0,36,Puerto-Rico,0
42,Private,190138,Some-college,10,Divorced,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,21,1,49,United-States,0
28,Private,60556,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,25,0,40,United-States,0
56,Private,120022,10th,6,Married-civ-spouse,Prof-specialty,Unmarried,Black,Male,22,0,40,United-States,1
53,Self-emp-inc,227333,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,3894,0,50,United-States,1
44,Private,251378,Assoc-acdm,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,3,0,40,Jamaica,0
29,Private,167441,HS-grad,9,Never-married,Tech-support,Other-relative,White,Female,13,0,40,United-States,0
39,Private,298678,5th-6th,10,Married-spouse-absent,Sales,Unmarried,White,Male,8,0,40,Columbia,0
17,?,220593,11th,7,Married-civ-spouse,?,Husband,White,Female,10,0,10,United-States,0
37,Private,240620,Assoc-acdm,4,Married-civ-spouse,Other-service,Unmarried,White,Female,-6,-1,40,Hungary,0
45,Private,129196,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,25,0,40,?,0
45,Private,105157,Bachelors,15,Married-civ-spouse,Prof-specialty,Husband,Other,Male,10,0,40,?,1
60,Private,40438,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,19,-1,40,United-States,0
33,Private,208116,HS-grad,9,Divorced,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,28,-1,40,United-States,0
25,Private,211980,Bachelors,15,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,14,0,50,Taiwan,0
44,Private,209257,HS-grad,10,Divorced,Tech-support,Not-in-family,White,Male,2,1,75,United-States,0
45,Local-gov,230857,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,42,1,40,United-States,0
55,Local-gov,149226,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,7888,0,40,England,1
54,Private,216007,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,0,40,United-States,1
61,Private,105930,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,4578,0,44,United-States,0
25,Private,264799,Bachelors,9,Never-married,Transport-moving,Not-in-family,White,Female,22,0,40,United-States,0
19,Private,226986,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0,0,40,Dominican-Republic,0
37,Private,171329,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,9,0,49,United-States,0
28,Private,210131,HS-grad,9,Married-AF-spouse,Priv-house-serv,Wife,White,Female,28,0,40,Ecuador,0
26,Private,223400,Assoc-voc,11,Married-civ-spouse,Other-service,Wife,White,Female,12,1,40,United-States,0
37,Private,140863,7th-8th,5,Never-married,Craft-repair,Not-in-family,White,Male,19,0,59,United-States,0
42,Private,120762,9th,5,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,-7,0,40,Jamaica,0
34,Self-emp-not-inc,336474,Assoc-acdm,10,Never-married,Sales,Not-in-family,White,Female,15,0,40,United-States,0
54,Self-emp-not-inc,103938,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7792,0,59,United-States,1
35,Private,214235,Prof-school,16,Never-married,Prof-specialty,Not-in-family,White,Male,30,0,50,United-States,1
18,Private,272454,Some-college,10,Never-married,Sales,Own-child,White,Male,26,0,56,United-States,0
62,Private,140850,Preschool,2,Married-civ-spouse,Craft-repair,Husband,White,Male,20,0,40,Dominican-Republic,0
30,Local-gov,188783,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,7,0,40,United-States,0
37,Local-gov,530051,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,22,0,40,?,0
29,Private,258796,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,20,0,40,Cuba,0
36,Private,314244,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,11,0,40,Ireland,0
53,Private,559660,Some-college,10,Divorced,Transport-moving,Not-in-family,White,Male,-12,0,40,United-States,0
16,?,260915,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,21,-1,18,?,0
19,Private,183144,7th-8th,13,Never-married,Other-service,Not-in-family,Black,Female,24,0,40,United-States,0
29,Private,284832,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,17,1,40,United-States,0
44,Private,277696,Some-college,10,Divorced,Other-service,Unmarried,Black,Female,26,0,50,United-States,0
27,Private,237310,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,9,1,60,United-States,1
24,Private,155748,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,22,0,40,United-States,0
33,Self-emp-not-inc,131422,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,14,-1,40,United-States,0
32,Private,636118,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,-9,0,40,Cambodia,0
32,Private,281662,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Female,14,-1,22,United-States,0
54,Private,326931,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,16,0,40,Puerto-Rico,0
58,Without-pay,204597,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,3259,1,40,United-States,0
24,Private,79671,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,30,0,40,United-States,0
33,Private,232715,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,18,0,20,United-States,0
16,Private,258418,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,15,-1,37,United-States,0
66,Self-emp-inc,142306,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,24,0,58,United-States,1
50,Private,163402,10th,6,Never-married,Machine-op-inspct,Own-child,White,Male,17,-1,40,United-States,0
46,Private,216741,Assoc-voc,3,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,24,1,45,Ireland,0
57,Private,220884,10th,6,Married-spouse-absent,Other-service,Not-in-family,White,Female,14,0,40,United-States,0
47,Private,221135,Assoc-acdm,12,Divorced,Other-service,Unmarried,White,Female,11,-1,40,United-States,0
48,Private,237044,Masters,14,Never-married,Machine-op-inspct,Own-child,Asian-Pac-Islander,Female,30,0,40,India,0
31,Private,117891,9th,5,Never-married,Handlers-cleaners,Not-in-family,White,Male,30,0,40,United-States,0
31,Private,216554,HS-grad,9,Widowed,Machine-op-inspct,Not-in-family,Black,Female,22,0,40,United-States,0
55,Private,108695,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,White,Male,12,1,40,United-States,0
36,Private,220683,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,10,1,30,United-States,0
54,Private,199477,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,33,0,40,United-States,0
53,Private,209254,Assoc-acdm,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,17,0,40,Haiti,1
52,Private,291008,Masters,14,Married-spouse-absent,Other-service,Other-relative,Other,Female,41,-1,40,Japan,0
59,Private,84152,Assoc-voc,11,Separated,Exec-managerial,Unmarried,White,Male,26,1,40,United-States,0
21,Private,108416,11th,6,Never-married,Other-service,Not-in-family,Black,Female,39,0,36,United-States,0
36,Self-emp-not-inc,209827,Bachelors,13,Married-spouse-absent,Other-service,Not-in-family,Black,Male,15,0,36,United-States,0
20,?,258048,Some-college,10,Never-married,?,Not-in-family,White,Female,3662,0,40,United-States,0
49,Private,230653,10th,7,Divorced,Craft-repair,Husband,Asian-Pac-Islander,Male,8,-1,40,United-States,0
49,Local-gov,252181,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,6,0,40,Vietnam,0
24,Self-emp-not-inc,218879,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,-9,0,76,United-States,0
32,Private,55884,HS-grad,9,Never-married,Priv-house-serv,Not-in-family,White,Female,1,-1,23,El-Salvador,0
39,State-gov,191411,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,31,0,40,United-States,0
44,Self-emp-inc,206425,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,4678,1,68,United-States,1
36,Private,355492,10th,4,Married-civ-spouse,Protective-serv,Husband,White,Male,-22,0,40,United-States,0
31,Federal-gov,292828,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,4,1,58,United-States,0
55,Private,109706,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,-9,1880,31,United-States,0
66,Private,257131,7th-8th,5,Married-civ-spouse,Transport-moving,Husband,White,Male,4156,0,40,United-States,0
57,State-gov,219081,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Black,Female,4409,0,40,United-States,1
58,State-gov,102062,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,1,0,40,United-States,1
72,Private,201299,10th,5,Widowed,Other-service,Not-in-family,White,Female,13,0,35,United-States,0
37,Self-emp-not-inc,203990,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,15,0,29,United-States,0
44,Private,301966,10th,6,Married-civ-spouse,Armed-Forces,Wife,White,Male,13,0,40,United-States,0
31,Private,81769,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,26,0,30,United-States,0
23,Private,318827,HS-grad,9,Never-married,Handlers-cleaners,Husband,White,Female,5,0,40,?,0
75,Private,201605,7th-8th,3,Divorced,Priv-house-serv,Not-in-family,White,Female,17,2073,40,El-Salvador,0
40,Private,309188,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,52,1,45,United-States,0
28,Private,93388,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,2,1,40,United-States,1
48,Private,381066,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,White,Female,20,-1,40,Columbia,0
22,Private,105009,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,3,0,40,United-States,0
26,Private,224056,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,Other,Female,-1,0,30,?,0
19,?,460205,Some-college,10,Never-married,Sales,Own-child,White,Female,38,0,7,United-States,0
45,Federal-gov,195830,HS-grad,9,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,18,2032,40,United-States,0
35,Private,300326,HS-grad,9,Never-married,Transport-moving,Wife,Black,Female,17,0,40,United-States,0
49,Private,229975,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,17,0,40,Portugal,0
42,Private,163881,Some-college,6,Married-civ-spouse,Tech-support,Husband,White,Male,-4,0,40,United-States,0
51,Private,225674,10th,4,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,-10,0,40,Nicaragua,0
33,?,280007,Bachelors,13,Never-married,?,Not-in-family,White,Male,0,0,40,United-States,0
53,Private,251527,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,14,-1,40,United-States,0
35,State-gov,212524,Bachelors,13,Never-married,Protective-serv,Own-child,White,Male,13,1,40,United-States,0
69,Private,266916,HS-grad,9,Separated,Exec-managerial,Unmarried,White,Female,3,0,40,United-States,0
73,?,269603,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,11,0,40,United-States,0
41,Private,382440,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,6,-1,50,United-States,0
57,Private,277050,9th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,11,0,40,United-States,0
31,Private,111329,5th-6th,6,Divorced,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Male,28,0,40,?,0
25,Private,265242,Some-college,10,Married-civ-spouse,?,Husband,Black,Male,18,0,40,United-States,0
75,Private,40719,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,14,0,40,United-States,0
18,Private,51773,11th,7,Never-married,Sales,Own-child,White,Female,24,-1,9,United-States,0
49,Private,161212,5th-6th,1,Never-married,Craft-repair,Unmarried,White,Male,26,1,40,Mexico,0
34,Private,174095,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,4,0,37,Columbia,0
49,Private,98534,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,33,0,70,Puerto-Rico,1
34,Private,213931,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Female,9,-1,40,Haiti,0
41,Private,209810,1st-4th,4,Married-spouse-absent,Craft-repair,Other-relative,Black,Female,36,0,40,United-States,0
23,Private,152537,HS-grad,9,Married-AF-spouse,Sales,Wife,Black,Female,5,0,20,Trinadad&Tobago,0
30,Private,201762,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,1,0,40,United-States,0
48,Private,253923,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,13,1,40,Cambodia,0
57,Private,294412,HS-grad,9,Widowed,Other-service,Unmarried,Black,Female,20,-1,40,United-States,0
54,Private,194300,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,0,70,United-States,1
35,Self-emp-not-inc,321038,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,46,0,50,United-States,1
18,Private,224572,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male,10,0,31,United-States,0
33,Private,34338,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,12,0,30,United-States,0
33,Private,232454,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,6,-2,40,United-States,0
28,Federal-gov,192328,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,15,0,40,Honduras,0
44,Private,143175,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,14971,1,44,United-States,1
49,Private,227442,Masters,14,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,8115,0,50,United-States,0
47,Private,206681,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,4,0,59,Japan,0
39,Federal-gov,99817,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,-14,0,40,United-States,0
32,Federal-gov,172951,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,12,0,40,El-Salvador,0
26,Private,354635,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,7,0,58,?,0
30,Private,245558,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,7,1,40,?,0
24,Private,167715,Some-college,10,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,4,1919,40,El-Salvador,0
60,Private,213708,10th,5,Married-civ-spouse,Other-service,Husband,Black,Female,-15,-1,40,United-States,0
33,Private,261682,HS-grad,9,Married-civ-spouse,Transport-moving,Wife,White,Female,18,0,50,United-States,1
31,Private,250435,11th,5,Never-married,Sales,Not-in-family,White,Female,-9,-1,40,United-States,0
71,Self-emp-inc,138712,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,17,0,58,United-States,1
56,Self-emp-inc,125037,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,15387,0,50,England,1
34,Private,317145,Bachelors,13,Never-married,Other-service,Unmarried,Black,Female,18,0,30,United-States,0
36,Private,181738,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,1,1,40,United-States,0
38,Self-emp-not-inc,111280,Assoc-voc,11,Never-married,Prof-specialty,Husband,White,Male,26,0,50,United-States,0
22,Private,200592,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Other,Female,-8,-1,40,Dominican-Republic,0
36,State-gov,233168,Some-college,10,Married-civ-spouse,Tech-support,Not-in-family,White,Male,-15,1,68,United-States,0
53,Private,289069,Some-college,10,Separated,Other-service,Not-in-family,White,Male,4291,0,35,United-States,0
55,Private,199345,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,-3,0,40,France,1
51,Private,268897,Masters,3,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,3,1,40,Ireland,0
27,Private,240999,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Male,14,0,40,United-States,0
