dataset,regime,model,ratio,method,auc_mean,rank
heart,full,svm,0.0,ctgan,0.5370129870129869,3.0
heart,full,svm,0.25,llm_constrained,0.9748917748917748,1.0
heart,full,svm,0.25,llm_sample,0.959090909090909,2.0
heart,full,svm,0.25,ctgan,0.9158008658008658,3.0
heart,full,svm,0.5,llm_constrained,0.974025974025974,1.0
heart,full,svm,0.5,llm_sample,0.9595238095238097,2.0
heart,full,svm,0.5,ctgan,0.9283549783549784,3.0
heart,full,svm,0.75,llm_constrained,0.9608225108225108,1.0
heart,full,svm,0.75,llm_sample,0.9543290043290042,2.0
heart,full,svm,0.75,ctgan,0.9391774891774892,3.0
heart,full,svm,1.0,ctgan,0.9556277056277056,1.0
heart,full,svm,1.0,llm_constrained,0.9556277056277056,1.0
heart,full,svm,1.0,llm_sample,0.9556277056277056,1.0
heart,low,svm,0.0,llm_constrained,0.9461038961038961,1.0
heart,low,svm,0.0,llm_sample,0.9359307359307358,2.0
heart,low,svm,0.0,ctgan,0.4902597402597403,3.0
heart,low,svm,0.25,llm_constrained,0.9489177489177489,1.0
heart,low,svm,0.25,ctgan,0.8707792207792208,2.0
heart,low,svm,0.25,llm_sample,0.8333333333333334,3.0
heart,low,svm,0.5,llm_constrained,0.9002164502164502,1.0
heart,low,svm,0.5,llm_sample,0.8025974025974026,2.0
heart,low,svm,0.5,ctgan,0.798051948051948,3.0
heart,low,svm,0.75,ctgan,0.8127705627705627,1.0
heart,low,svm,0.75,llm_constrained,0.810822510822511,2.0
heart,low,svm,0.75,llm_sample,0.7887445887445887,3.0
heart,low,svm,1.0,ctgan,0.7478354978354979,1.0
heart,low,svm,1.0,llm_constrained,0.7478354978354979,1.0
heart,low,svm,1.0,llm_sample,0.7478354978354979,1.0
